PVSYST v6.49
;File;File date;Description
Project;Havana_Project.PRJ;30/11/16 13h50;Little Cayman;
Geographical Site;Havana;30/11/16 13h50;Havana;Cuba;North_America;;
Meteo data;Havana_MN71_Synthetic.MET;00/00/00 00h00;Havana;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Havana_Project.VC0;00/00/00 00h00;sim 1 - 2000kW-DC;
Simulation date;;01/12/16 13h00

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;E_Grid
    ;W

01/01/90 00:00;0
01/01/90 01:00;0
01/01/90 02:00;0
01/01/90 03:00;0
01/01/90 04:00;0
01/01/90 05:00;0
01/01/90 06:00;0
01/01/90 07:00;0
01/01/90 08:00;457294
01/01/90 09:00;909836
01/01/90 10:00;1216781
01/01/90 11:00;1445183
01/01/90 12:00;1460445
01/01/90 13:00;1452372
01/01/90 14:00;1295590
01/01/90 15:00;1052263
01/01/90 16:00;577539
01/01/90 17:00;28229
01/01/90 18:00;0
01/01/90 19:00;0
01/01/90 20:00;0
01/01/90 21:00;0
01/01/90 22:00;0
01/01/90 23:00;0
01/02/90 00:00;0
01/02/90 01:00;0
01/02/90 02:00;0
01/02/90 03:00;0
01/02/90 04:00;0
01/02/90 05:00;0
01/02/90 06:00;0
01/02/90 07:00;0
01/02/90 08:00;351155
01/02/90 09:00;735482
01/02/90 10:00;974769
01/02/90 11:00;742230
01/02/90 12:00;942271
01/02/90 13:00;809997
01/02/90 14:00;1023242
01/02/90 15:00;657962
01/02/90 16:00;316409
01/02/90 17:00;0
01/02/90 18:00;0
01/02/90 19:00;0
01/02/90 20:00;0
01/02/90 21:00;0
01/02/90 22:00;0
01/02/90 23:00;0
01/03/90 00:00;0
01/03/90 01:00;0
01/03/90 02:00;0
01/03/90 03:00;0
01/03/90 04:00;0
01/03/90 05:00;0
01/03/90 06:00;0
01/03/90 07:00;18313
01/03/90 08:00;595833
01/03/90 09:00;1075059
01/03/90 10:00;1386508
01/03/90 11:00;1553632
01/03/90 12:00;1593717
01/03/90 13:00;1556066
01/03/90 14:00;1410105
01/03/90 15:00;1142853
01/03/90 16:00;665182
01/03/90 17:00;42776
01/03/90 18:00;0
01/03/90 19:00;0
01/03/90 20:00;0
01/03/90 21:00;0
01/03/90 22:00;0
01/03/90 23:00;0
01/04/90 00:00;0
01/04/90 01:00;0
01/04/90 02:00;0
01/04/90 03:00;0
01/04/90 04:00;0
01/04/90 05:00;0
01/04/90 06:00;0
01/04/90 07:00;18924
01/04/90 08:00;625290
01/04/90 09:00;1135457
01/04/90 10:00;1444453
01/04/90 11:00;1613166
01/04/90 12:00;1664308
01/04/90 13:00;1611682
01/04/90 14:00;1455093
01/04/90 15:00;1168732
01/04/90 16:00;679160
01/04/90 17:00;40448
01/04/90 18:00;0
01/04/90 19:00;0
01/04/90 20:00;0
01/04/90 21:00;0
01/04/90 22:00;0
01/04/90 23:00;0
01/05/90 00:00;0
01/05/90 01:00;0
01/05/90 02:00;0
01/05/90 03:00;0
01/05/90 04:00;0
01/05/90 05:00;0
01/05/90 06:00;0
01/05/90 07:00;0
01/05/90 08:00;325165
01/05/90 09:00;463211
01/05/90 10:00;604658
01/05/90 11:00;1074989
01/05/90 12:00;811374
01/05/90 13:00;829728
01/05/90 14:00;823935
01/05/90 15:00;741024
01/05/90 16:00;702790
01/05/90 17:00;50102
01/05/90 18:00;0
01/05/90 19:00;0
01/05/90 20:00;0
01/05/90 21:00;0
01/05/90 22:00;0
01/05/90 23:00;0
01/06/90 00:00;0
01/06/90 01:00;0
01/06/90 02:00;0
01/06/90 03:00;0
01/06/90 04:00;0
01/06/90 05:00;0
01/06/90 06:00;0
01/06/90 07:00;16610
01/06/90 08:00;559604
01/06/90 09:00;1056989
01/06/90 10:00;1371347
01/06/90 11:00;1537560
01/06/90 12:00;1605146
01/06/90 13:00;1552799
01/06/90 14:00;1394277
01/06/90 15:00;1122296
01/06/90 16:00;646379
01/06/90 17:00;46515
01/06/90 18:00;0
01/06/90 19:00;0
01/06/90 20:00;0
01/06/90 21:00;0
01/06/90 22:00;0
01/06/90 23:00;0
01/07/90 00:00;0
01/07/90 01:00;0
01/07/90 02:00;0
01/07/90 03:00;0
01/07/90 04:00;0
01/07/90 05:00;0
01/07/90 06:00;0
01/07/90 07:00;13844
01/07/90 08:00;527877
01/07/90 09:00;1034238
01/07/90 10:00;1330763
01/07/90 11:00;1497273
01/07/90 12:00;1546253
01/07/90 13:00;1502209
01/07/90 14:00;1351837
01/07/90 15:00;1075064
01/07/90 16:00;651951
01/07/90 17:00;48726
01/07/90 18:00;0
01/07/90 19:00;0
01/07/90 20:00;0
01/07/90 21:00;0
01/07/90 22:00;0
01/07/90 23:00;0
01/08/90 00:00;0
01/08/90 01:00;0
01/08/90 02:00;0
01/08/90 03:00;0
01/08/90 04:00;0
01/08/90 05:00;0
01/08/90 06:00;0
01/08/90 07:00;22439
01/08/90 08:00;146177
01/08/90 09:00;483163
01/08/90 10:00;816484
01/08/90 11:00;1052923
01/08/90 12:00;1219929
01/08/90 13:00;1145214
01/08/90 14:00;786114
01/08/90 15:00;870848
01/08/90 16:00;473614
01/08/90 17:00;0
01/08/90 18:00;0
01/08/90 19:00;0
01/08/90 20:00;0
01/08/90 21:00;0
01/08/90 22:00;0
01/08/90 23:00;0
01/09/90 00:00;0
01/09/90 01:00;0
01/09/90 02:00;0
01/09/90 03:00;0
01/09/90 04:00;0
01/09/90 05:00;0
01/09/90 06:00;0
01/09/90 07:00;0
01/09/90 08:00;425148
01/09/90 09:00;869592
01/09/90 10:00;1050713
01/09/90 11:00;1001851
01/09/90 12:00;1204183
01/09/90 13:00;1097225
01/09/90 14:00;1257169
01/09/90 15:00;780226
01/09/90 16:00;303594
01/09/90 17:00;0
01/09/90 18:00;0
01/09/90 19:00;0
01/09/90 20:00;0
01/09/90 21:00;0
01/09/90 22:00;0
01/09/90 23:00;0
01/10/90 00:00;0
01/10/90 01:00;0
01/10/90 02:00;0
01/10/90 03:00;0
01/10/90 04:00;0
01/10/90 05:00;0
01/10/90 06:00;0
01/10/90 07:00;0
01/10/90 08:00;460597
01/10/90 09:00;897357
01/10/90 10:00;1247227
01/10/90 11:00;1411118
01/10/90 12:00;1431796
01/10/90 13:00;1433085
01/10/90 14:00;1228417
01/10/90 15:00;846272
01/10/90 16:00;504364
01/10/90 17:00;43700
01/10/90 18:00;0
01/10/90 19:00;0
01/10/90 20:00;0
01/10/90 21:00;0
01/10/90 22:00;0
01/10/90 23:00;0
01/11/90 00:00;0
01/11/90 01:00;0
01/11/90 02:00;0
01/11/90 03:00;0
01/11/90 04:00;0
01/11/90 05:00;0
01/11/90 06:00;0
01/11/90 07:00;16208
01/11/90 08:00;588097
01/11/90 09:00;1085232
01/11/90 10:00;1384838
01/11/90 11:00;1553204
01/11/90 12:00;1625572
01/11/90 13:00;1573501
01/11/90 14:00;1413107
01/11/90 15:00;1137929
01/11/90 16:00;676544
01/11/90 17:00;51997
01/11/90 18:00;0
01/11/90 19:00;0
01/11/90 20:00;0
01/11/90 21:00;0
01/11/90 22:00;0
01/11/90 23:00;0
01/12/90 00:00;0
01/12/90 01:00;0
01/12/90 02:00;0
01/12/90 03:00;0
01/12/90 04:00;0
01/12/90 05:00;0
01/12/90 06:00;0
01/12/90 07:00;16760
01/12/90 08:00;618275
01/12/90 09:00;1147183
01/12/90 10:00;1464429
01/12/90 11:00;1656668
01/12/90 12:00;1674701
01/12/90 13:00;1671789
01/12/90 14:00;1513512
01/12/90 15:00;1221062
01/12/90 16:00;727281
01/12/90 17:00;60648
01/12/90 18:00;0
01/12/90 19:00;0
01/12/90 20:00;0
01/12/90 21:00;0
01/12/90 22:00;0
01/12/90 23:00;0
01/13/90 00:00;0
01/13/90 01:00;0
01/13/90 02:00;0
01/13/90 03:00;0
01/13/90 04:00;0
01/13/90 05:00;0
01/13/90 06:00;0
01/13/90 07:00;16400
01/13/90 08:00;578942
01/13/90 09:00;1067771
01/13/90 10:00;1385274
01/13/90 11:00;1539341
01/13/90 12:00;1590894
01/13/90 13:00;1575316
01/13/90 14:00;1399079
01/13/90 15:00;1097780
01/13/90 16:00;673975
01/13/90 17:00;68263
01/13/90 18:00;0
01/13/90 19:00;0
01/13/90 20:00;0
01/13/90 21:00;0
01/13/90 22:00;0
01/13/90 23:00;0
01/14/90 00:00;0
01/14/90 01:00;0
01/14/90 02:00;0
01/14/90 03:00;0
01/14/90 04:00;0
01/14/90 05:00;0
01/14/90 06:00;0
01/14/90 07:00;12816
01/14/90 08:00;476409
01/14/90 09:00;922055
01/14/90 10:00;653470
01/14/90 11:00;362624
01/14/90 12:00;105233
01/14/90 13:00;475400
01/14/90 14:00;738317
01/14/90 15:00;738640
01/14/90 16:00;169261
01/14/90 17:00;0
01/14/90 18:00;0
01/14/90 19:00;0
01/14/90 20:00;0
01/14/90 21:00;0
01/14/90 22:00;0
01/14/90 23:00;0
01/15/90 00:00;0
01/15/90 01:00;0
01/15/90 02:00;0
01/15/90 03:00;0
01/15/90 04:00;0
01/15/90 05:00;0
01/15/90 06:00;0
01/15/90 07:00;0
01/15/90 08:00;138400
01/15/90 09:00;488505
01/15/90 10:00;796592
01/15/90 11:00;828461
01/15/90 12:00;635729
01/15/90 13:00;565755
01/15/90 14:00;559259
01/15/90 15:00;385926
01/15/90 16:00;287178
01/15/90 17:00;0
01/15/90 18:00;0
01/15/90 19:00;0
01/15/90 20:00;0
01/15/90 21:00;0
01/15/90 22:00;0
01/15/90 23:00;0
01/16/90 00:00;0
01/16/90 01:00;0
01/16/90 02:00;0
01/16/90 03:00;0
01/16/90 04:00;0
01/16/90 05:00;0
01/16/90 06:00;0
01/16/90 07:00;0
01/16/90 08:00;215970
01/16/90 09:00;484538
01/16/90 10:00;685064
01/16/90 11:00;596380
01/16/90 12:00;617618
01/16/90 13:00;531194
01/16/90 14:00;338815
01/16/90 15:00;240955
01/16/90 16:00;123246
01/16/90 17:00;0
01/16/90 18:00;0
01/16/90 19:00;0
01/16/90 20:00;0
01/16/90 21:00;0
01/16/90 22:00;0
01/16/90 23:00;0
01/17/90 00:00;0
01/17/90 01:00;0
01/17/90 02:00;0
01/17/90 03:00;0
01/17/90 04:00;0
01/17/90 05:00;0
01/17/90 06:00;0
01/17/90 07:00;15849
01/17/90 08:00;582237
01/17/90 09:00;1079345
01/17/90 10:00;1373202
01/17/90 11:00;1552014
01/17/90 12:00;1606439
01/17/90 13:00;1559368
01/17/90 14:00;1417790
01/17/90 15:00;1157864
01/17/90 16:00;765316
01/17/90 17:00;267025
01/17/90 18:00;0
01/17/90 19:00;0
01/17/90 20:00;0
01/17/90 21:00;0
01/17/90 22:00;0
01/17/90 23:00;0
01/18/90 00:00;0
01/18/90 01:00;0
01/18/90 02:00;0
01/18/90 03:00;0
01/18/90 04:00;0
01/18/90 05:00;0
01/18/90 06:00;0
01/18/90 07:00;16834
01/18/90 08:00;578695
01/18/90 09:00;1076897
01/18/90 10:00;1381277
01/18/90 11:00;1548000
01/18/90 12:00;1613542
01/18/90 13:00;1565001
01/18/90 14:00;1420282
01/18/90 15:00;1155148
01/18/90 16:00;769180
01/18/90 17:00;276813
01/18/90 18:00;0
01/18/90 19:00;0
01/18/90 20:00;0
01/18/90 21:00;0
01/18/90 22:00;0
01/18/90 23:00;0
01/19/90 00:00;0
01/19/90 01:00;0
01/19/90 02:00;0
01/19/90 03:00;0
01/19/90 04:00;0
01/19/90 05:00;0
01/19/90 06:00;0
01/19/90 07:00;18078
01/19/90 08:00;539945
01/19/90 09:00;1024831
01/19/90 10:00;1258921
01/19/90 11:00;1326961
01/19/90 12:00;1430104
01/19/90 13:00;1397484
01/19/90 14:00;1226384
01/19/90 15:00;980848
01/19/90 16:00;625056
01/19/90 17:00;215273
01/19/90 18:00;0
01/19/90 19:00;0
01/19/90 20:00;0
01/19/90 21:00;0
01/19/90 22:00;0
01/19/90 23:00;0
01/20/90 00:00;0
01/20/90 01:00;0
01/20/90 02:00;0
01/20/90 03:00;0
01/20/90 04:00;0
01/20/90 05:00;0
01/20/90 06:00;0
01/20/90 07:00;0
01/20/90 08:00;45501
01/20/90 09:00;224678
01/20/90 10:00;320205
01/20/90 11:00;352613
01/20/90 12:00;406046
01/20/90 13:00;408821
01/20/90 14:00;277083
01/20/90 15:00;207017
01/20/90 16:00;76339
01/20/90 17:00;0
01/20/90 18:00;0
01/20/90 19:00;0
01/20/90 20:00;0
01/20/90 21:00;0
01/20/90 22:00;0
01/20/90 23:00;0
01/21/90 00:00;0
01/21/90 01:00;0
01/21/90 02:00;0
01/21/90 03:00;0
01/21/90 04:00;0
01/21/90 05:00;0
01/21/90 06:00;0
01/21/90 07:00;0
01/21/90 08:00;152655
01/21/90 09:00;520045
01/21/90 10:00;905400
01/21/90 11:00;1138795
01/21/90 12:00;1093361
01/21/90 13:00;983676
01/21/90 14:00;981362
01/21/90 15:00;575242
01/21/90 16:00;186750
01/21/90 17:00;0
01/21/90 18:00;0
01/21/90 19:00;0
01/21/90 20:00;0
01/21/90 21:00;0
01/21/90 22:00;0
01/21/90 23:00;0
01/22/90 00:00;0
01/22/90 01:00;0
01/22/90 02:00;0
01/22/90 03:00;0
01/22/90 04:00;0
01/22/90 05:00;0
01/22/90 06:00;0
01/22/90 07:00;0
01/22/90 08:00;123640
01/22/90 09:00;218557
01/22/90 10:00;212929
01/22/90 11:00;333021
01/22/90 12:00;454515
01/22/90 13:00;528729
01/22/90 14:00;449843
01/22/90 15:00;258835
01/22/90 16:00;111798
01/22/90 17:00;0
01/22/90 18:00;0
01/22/90 19:00;0
01/22/90 20:00;0
01/22/90 21:00;0
01/22/90 22:00;0
01/22/90 23:00;0
01/23/90 00:00;0
01/23/90 01:00;0
01/23/90 02:00;0
01/23/90 03:00;0
01/23/90 04:00;0
01/23/90 05:00;0
01/23/90 06:00;0
01/23/90 07:00;34980
01/23/90 08:00;472253
01/23/90 09:00;977394
01/23/90 10:00;1245751
01/23/90 11:00;1099027
01/23/90 12:00;590779
01/23/90 13:00;1153423
01/23/90 14:00;1029354
01/23/90 15:00;550467
01/23/90 16:00;456369
01/23/90 17:00;179088
01/23/90 18:00;0
01/23/90 19:00;0
01/23/90 20:00;0
01/23/90 21:00;0
01/23/90 22:00;0
01/23/90 23:00;0
01/24/90 00:00;0
01/24/90 01:00;0
01/24/90 02:00;0
01/24/90 03:00;0
01/24/90 04:00;0
01/24/90 05:00;0
01/24/90 06:00;0
01/24/90 07:00;20082
01/24/90 08:00;631592
01/24/90 09:00;1155606
01/24/90 10:00;1468196
01/24/90 11:00;1646557
01/24/90 12:00;1674285
01/24/90 13:00;1671742
01/24/90 14:00;1530453
01/24/90 15:00;1267308
01/24/90 16:00;863914
01/24/90 17:00;353948
01/24/90 18:00;0
01/24/90 19:00;0
01/24/90 20:00;0
01/24/90 21:00;0
01/24/90 22:00;0
01/24/90 23:00;0
01/25/90 00:00;0
01/25/90 01:00;0
01/25/90 02:00;0
01/25/90 03:00;0
01/25/90 04:00;0
01/25/90 05:00;0
01/25/90 06:00;0
01/25/90 07:00;17210
01/25/90 08:00;559702
01/25/90 09:00;1038350
01/25/90 10:00;1343866
01/25/90 11:00;1511251
01/25/90 12:00;1579272
01/25/90 13:00;1535528
01/25/90 14:00;1390281
01/25/90 15:00;1136971
01/25/90 16:00;756622
01/25/90 17:00;294212
01/25/90 18:00;0
01/25/90 19:00;0
01/25/90 20:00;0
01/25/90 21:00;0
01/25/90 22:00;0
01/25/90 23:00;0
01/26/90 00:00;0
01/26/90 01:00;0
01/26/90 02:00;0
01/26/90 03:00;0
01/26/90 04:00;0
01/26/90 05:00;0
01/26/90 06:00;0
01/26/90 07:00;19497
01/26/90 08:00;600045
01/26/90 09:00;1089203
01/26/90 10:00;1408790
01/26/90 11:00;1579901
01/26/90 12:00;1635388
01/26/90 13:00;1589552
01/26/90 14:00;1441639
01/26/90 15:00;1179021
01/26/90 16:00;782020
01/26/90 17:00;306826
01/26/90 18:00;0
01/26/90 19:00;0
01/26/90 20:00;0
01/26/90 21:00;0
01/26/90 22:00;0
01/26/90 23:00;0
01/27/90 00:00;0
01/27/90 01:00;0
01/27/90 02:00;0
01/27/90 03:00;0
01/27/90 04:00;0
01/27/90 05:00;0
01/27/90 06:00;0
01/27/90 07:00;0
01/27/90 08:00;170122
01/27/90 09:00;578926
01/27/90 10:00;591355
01/27/90 11:00;820211
01/27/90 12:00;832727
01/27/90 13:00;855504
01/27/90 14:00;633260
01/27/90 15:00;483210
01/27/90 16:00;282872
01/27/90 17:00;116121
01/27/90 18:00;0
01/27/90 19:00;0
01/27/90 20:00;0
01/27/90 21:00;0
01/27/90 22:00;0
01/27/90 23:00;0
01/28/90 00:00;0
01/28/90 01:00;0
01/28/90 02:00;0
01/28/90 03:00;0
01/28/90 04:00;0
01/28/90 05:00;0
01/28/90 06:00;0
01/28/90 07:00;19870
01/28/90 08:00;595447
01/28/90 09:00;1099919
01/28/90 10:00;1427631
01/28/90 11:00;1610951
01/28/90 12:00;1666164
01/28/90 13:00;1625884
01/28/90 14:00;1483240
01/28/90 15:00;1218209
01/28/90 16:00;824471
01/28/90 17:00;331043
01/28/90 18:00;0
01/28/90 19:00;0
01/28/90 20:00;0
01/28/90 21:00;0
01/28/90 22:00;0
01/28/90 23:00;0
01/29/90 00:00;0
01/29/90 01:00;0
01/29/90 02:00;0
01/29/90 03:00;0
01/29/90 04:00;0
01/29/90 05:00;0
01/29/90 06:00;0
01/29/90 07:00;0
01/29/90 08:00;269385
01/29/90 09:00;609479
01/29/90 10:00;907594
01/29/90 11:00;1184908
01/29/90 12:00;1122534
01/29/90 13:00;1239931
01/29/90 14:00;1302950
01/29/90 15:00;922166
01/29/90 16:00;416560
01/29/90 17:00;280953
01/29/90 18:00;0
01/29/90 19:00;0
01/29/90 20:00;0
01/29/90 21:00;0
01/29/90 22:00;0
01/29/90 23:00;0
01/30/90 00:00;0
01/30/90 01:00;0
01/30/90 02:00;0
01/30/90 03:00;0
01/30/90 04:00;0
01/30/90 05:00;0
01/30/90 06:00;0
01/30/90 07:00;0
01/30/90 08:00;409745
01/30/90 09:00;624321
01/30/90 10:00;867636
01/30/90 11:00;1220528
01/30/90 12:00;1063035
01/30/90 13:00;1036876
01/30/90 14:00;920999
01/30/90 15:00;840638
01/30/90 16:00;472942
01/30/90 17:00;173679
01/30/90 18:00;0
01/30/90 19:00;0
01/30/90 20:00;0
01/30/90 21:00;0
01/30/90 22:00;0
01/30/90 23:00;0
01/31/90 00:00;0
01/31/90 01:00;0
01/31/90 02:00;0
01/31/90 03:00;0
01/31/90 04:00;0
01/31/90 05:00;0
01/31/90 06:00;0
01/31/90 07:00;0
01/31/90 08:00;262037
01/31/90 09:00;695134
01/31/90 10:00;1046166
01/31/90 11:00;839386
01/31/90 12:00;855003
01/31/90 13:00;674005
01/31/90 14:00;662887
01/31/90 15:00;857664
01/31/90 16:00;579315
