"PVWatts: Hourly PV Performance Data"
"Requested Location:","little cayman, ky"
"Location:","SANCTI SPIRITUS, CUBA"
"Lat (deg N):","21.93"
"Long (deg W):","79.45"
"Elev (m):","65"
"DC System Size (kW):","4000"
"Module Type:","Standard"
"Array Type:","1-Axis Tracking"
"Array Tilt (deg):","19.7"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Ground Coverage Ratio:","0.4"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","20.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","24.9","0.2","0","24.9","0","0"
"1","1","1","0","0","24.1","0.2","0","24.1","0","0"
"1","1","2","0","0","23.3","0.2","0","23.3","0","0"
"1","1","3","0","0","22.5","0.1","0","22.5","0","0"
"1","1","4","0","0","21.6","0.1","0","21.6","0","0"
"1","1","5","0","0","20.8","0","0","20.8","0","0"
"1","1","6","0","0","20","0","0","20","0","0"
"1","1","7","265","32","21","0.1","260.05","29.015","874361","833116"
"1","1","8","608","62","22","0.2","653.643","45.115","2033400.625","1956952.125"
"1","1","9","765","85","23","0.2","824.556","53.411","2455621.25","2363504.25"
"1","1","10","786","98","24","0.3","846.963","55.179","2498064.25","2404288"
"1","1","11","869","107","25","0.4","915.17","57.457","2665440.25","2564971.75"
"1","1","12","837","124","26","0.5","909.057","57.801","2642638.75","2543096"
"1","1","13","751","160","27","0.7","881.402","56.597","2579591.75","2482585.75"
"1","1","14","678","130","28","0.8","793.829","54.401","2351520","2263407.25"
"1","1","15","644","100","29","1","740.18","52.489","2215483.5","2132464"
"1","1","16","487","55","27.3","0.7","532.245","46.205","1645811","1582408.5"
"1","1","17","130","17","25.7","0.3","127.369","32.307","421227.063","390632.75"
"1","1","18","0","0","24","0","0","24","0","0"
"1","1","19","0","0","23.4","0","0","23.4","0","0"
"1","1","20","0","0","22.8","0","0","22.8","0","0"
"1","1","21","0","0","22.2","0","0","22.2","0","0"
"1","1","22","0","0","21.7","0","0","21.7","0","0"
"1","1","23","0","0","21.1","0","0","21.1","0","0"
"1","2","0","0","0","20.5","0","0","20.5","0","0"
"1","2","1","0","0","19.9","0","0","19.9","0","0"
"1","2","2","0","0","19.3","0","0","19.3","0","0"
"1","2","3","0","0","18.7","0","0","18.7","0","0"
"1","2","4","0","0","18.2","0","0","18.2","0","0"
"1","2","5","0","0","17.6","0","0","17.6","0","0"
"1","2","6","0","0","17","0","0","17","0","0"
"1","2","7","204","39","18.3","0.2","228.001","25.892","778429.75","739585.5"
"1","2","8","560","62","19.7","0.3","611.233","40.832","1943781.125","1870462.875"
"1","2","9","722","82","21","0.5","782.278","48.154","2396177.25","2306358"
"1","2","10","747","111","22.5","0.5","826.795","51.646","2485851.5","2392554.5"
"1","2","11","746","127","24","0.5","833.64","53.434","2482308.75","2389150.25"
"1","2","12","864","105","25.5","0.5","906.257","56.91","2647479.75","2547741"
"1","2","13","830","114","27","0.5","897.913","58.372","2602011.75","2504107.5"
"1","2","14","671","150","28.5","0.5","809.894","57.252","2361884.5","2273377"
"1","2","15","546","127","30","0.5","672.357","54.328","1992621.125","1917605.375"
"1","2","16","506","61","28","0.5","557.295","48.373","1703830.875","1638557"
"1","2","17","139","17","26","0.5","143.466","32.559","473999.813","442255.125"
"1","2","18","0","0","24","0.5","0","24","0","0"
"1","2","19","0","0","22.8","0.5","0","22.8","0","0"
"1","2","20","0","0","21.7","0.5","0","21.7","0","0"
"1","2","21","0","0","20.5","0.5","0","20.5","0","0"
"1","2","22","0","0","19.3","0.5","0","19.3","0","0"
"1","2","23","0","0","18.2","0.5","0","18.2","0","0"
"1","3","0","0","0","17","0.5","0","17","0","0"
"1","3","1","0","0","17.3","0.5","0","17.3","0","0"
"1","3","2","0","0","17.7","0.5","0","17.7","0","0"
"1","3","3","0","0","18","0.5","0","18","0","0"
"1","3","4","0","0","18.3","0.5","0","18.3","0","0"
"1","3","5","0","0","18.7","0.5","0","18.7","0","0"
"1","3","6","0","0","19","0.5","0","19","0","0"
"1","3","7","305","27","19.7","0.5","277.98","28.287","937633.563","894762.125"
"1","3","8","602","47","20.3","0.5","623.138","40.999","1979845.875","1905276.125"
"1","3","9","705","82","21","0.5","767.303","47.769","2355116.5","2266867"
"1","3","10","840","85","23.7","0.5","873.549","54.029","2592676.75","2495147"
"1","3","11","604","170","26.3","0.5","757.011","53.584","2252531","2168140.25"
"1","3","12","730","153","29","0.5","848.859","58.208","2462257.75","2369882.25"
"1","3","13","421","145","27","1","565.303","45.942","1751990.75","1685141.625"
"1","3","14","213","232","25","1.6","439.293","37.552","1421383.25","1364949.875"
"1","3","15","201","189","23","2.1","391.167","32.972","1294599","1241912.875"
"1","3","16","70","152","21","2.6","262.875","27.037","895232.313","853454.563"
"1","3","17","0","25","19","3.2","22.016","18.59","78018.313","54326.555"
"1","3","18","0","0","19","2.8","0","19","0","0"
"1","3","19","0","0","19","2.4","0","19","0","0"
"1","3","20","0","0","19","2","0","19","0","0"
"1","3","21","0","0","19","1.6","0","19","0","0"
"1","3","22","0","0","19","1.3","0","19","0","0"
"1","3","23","0","0","19","0.9","0","19","0","0"
"1","4","0","0","0","19","0.5","0","19","0","0"
"1","4","1","0","0","18.8","0.5","0","18.8","0","0"
"1","4","2","0","0","18.7","0.5","0","18.7","0","0"
"1","4","3","0","0","18.5","0.5","0","18.5","0","0"
"1","4","4","0","0","18.3","0.5","0","18.3","0","0"
"1","4","5","0","0","18.2","0.5","0","18.2","0","0"
"1","4","6","0","0","18","0.5","0","18","0","0"
"1","4","7","11","38","19.7","0.7","53.805","19.228","189966.203","164133.266"
"1","4","8","21","157","21.3","0.8","180.039","25.416","618028.438","583023.313"
"1","4","9","150","181","23","1","328.898","32.208","1092640.25","1045640.25"
"1","4","10","302","224","24.3","1.2","527.033","39.447","1688995.625","1624203"
"1","4","11","397","272","25.7","1.3","661.34","44.955","2060463.875","1983056.625"
"1","4","12","399","348","27","1.5","744.962","48.191","2282174.25","2196677.5"
"1","4","13","562","252","27","1.5","804.315","49.995","2440187.75","2348670"
"1","4","14","402","197","27","1.5","608.543","45.098","1894505.125","1822878.875"
"1","4","15","275","161","27","1.5","443.649","40.031","1417562.375","1361243.875"
"1","4","16","196","115","27","1.5","335.246","36.484","1089938.75","1043012.5"
"1","4","17","22","22","27","1.5","33.616","27.553","113933.094","89566.039"
